一;one;ichi, itsu;hito-tsu
二;two;ni, ji;futa-tsu
三;three;san　;mit-tsu
四;four;shi;yot-tsu, yon
五;five;go;itsu-tsu
六;six;roku;mut-tsu
七;seven;shichi;nana-tsu
八;eight;hachi;yat-tsu
九;nine;ku or kyū;kokono-tsu
十;ten;jū;tō
百;hundred;hyaku;momo
千;thousand;sen;chi
上;top, above;jō;ue
下;bottom, below;ka, ge;shita, shimo, moto
左;left;sa;hidari
右;right;u, yū;migi
中;inside, middle;chū, jū;naka
大;large;dai, tai;ō-kii
小;small;shō;chii-sai, ko, o
月;month; moon;gatsu or getsu;tsuki
日;day; sun;nichi, jitsu;hi, ka
年;year;nen;toshi
早;early;sō, satsu;haya-i
木;tree;moku or boku;ki
林;woods;rin;hayashi
山;mountain;san, zan;yama
川;river;sen;kawa
土;soil;do, to;tsuchi
空;sky;kū;sora, a-ku, kara
田;rice paddy;den;da, ta
天;heaven;ten;ame, ama
生;life, bear; raw;sei, shō;i-kiru, u-mu, nama
花;flower;ka;hana
草;grass;sō;kusa
虫;insect;chū;mushi
犬;dog;ken;inu
人;person;jin, nin;hito
名;name;mei or myō;na
女;female;jo, nyo;on'na
男;male;dan or nan;otoko
子;child;shi, su;ko
目;eye;moku;me
耳;ear;ji, ni;mimi
口;mouth;kou;kuchi
手;hand;shu;te
足;foot;soku;ashi
見;see;ken, gen;mi-ru
音;sound;on;ne, oto
力;power;riki, ryoku;chikara
気;spirit; air;ki, ke;iki
円;yen; circle;en;maru
入;enter;nyū;hai-ru or i-ru
出;exit;shutsu;de-ru
立;stand up;ritsu;ta-tsu
休;rest;kyū;yasu-mu
先;previous;sen;saki
夕;evening;seki;yū
本;book;hon;moto
文;text;bun, mon;fumi
字;character;ji;aza
学;study;gaku;mana-bu
校;school;kō;kase
村;village;son;mura
町;town;chō;machi
森;forest;shin;mori
正;correct;sei, shō;tada-shii, masa
水;water;sui;mizu
火;fire;ka;hi
玉;gem;gyoku;tama
王;king;　ou;kimi
石;stone;seki, koku;ishi
竹;bamboo;chiku;take
糸;thread;shi;ito
貝;shellfish;gai;kai
車;vehicle;sha;kuruma
金;gold,money;kin;kane, kana
雨;rain;u;ame, ama
赤;red;seki;aka
青;blue;sei, shō;ao
白;white;haku;shiro, shira
数;number, count;sū;kazu
多;many, much;ta;oo-i
少;a few, a little;shō;suku-nai, suko-shi
万;ten thousand;man;yorozu
半;half;han;naka-ba
形;shape;kei, gyō;katachi
太;thick;ta;futo-i
細;thin;sai;hoso-i
広;wide;kō;hiro-i
長;long; leader;chō;naga-i
点;point;ten;bochi
丸;circle;gan;maru
交;intersect;kou;maji-waru
光;light;kou;hikari
角;corner; horn;kaku;kado, tsuno, sumi
計;measure;kei;haka-ru
直;straight; fix;choku, jiki;tada-chi, nao-su
線;line;sen;suji
矢;arrow;shi;ya
弱;weak;jaku;yowa-i
強;strong;kyō;tsuyo-i
高;high;kō;taka-i
同;same;dō;ona-ji
親;parent;shin;oya
母;mother;bo;haha, kaa
父;father;fu;chichi, tou
姉;older sister;shi;ane
兄;older brother;kei;ani
弟;younger brother;tei, dai;otōto
妹;younger sister;mai;imōto
自;oneself;ji, shi;mizuka-ra
友;friend;yū;tomo
体;body;tai;karada
毛;hair;mou;ke
頭;head;tou;atama
顔;face;gan;kao
首;neck;shu;kubi
心;heart;shin;kokoro
時;time;ji;toki
